Flour,Milk,Water,Egg,Butter,Salt
125g,.25l,0,3eu medium,30g,1pinch
250g,50cl,0,3eu medium,50g,1pinch
140g,10cl,10cl,1eu medium,1metric tsp,0
300g,30cl,0,3eu medium,50g,0
100g,25cl,0,2eu medium,10g,1metric tsp
150g,90cl,0,6eu medium,115g,1pinch
125g,25cl,5ml,2eu large,50g,1pinch
250g,.5l,0,4eu medium,50g,1pinch
.75metric cup,3metric cup,0,3eu medium,.3333metric cup,0
300g,.75l,0,6eu medium,30g,1metric tsp
250g,50cl,0,3eu medium,25g,1pinch
250g,50cl,0,3eu medium,1metric tb,1pinch
300g,50cl,0,3eu medium,50g,1pinch
200g,.5l,0,3eu medium,1metric tb,0
125g,3dl,2metric tb,3eu medium,30g,5g
250g,25cl,25cl,3eu medium,2metric tb,1pinch
260g,.5l,0,3eu medium,50g,1pinch
125g,30cl,0,2eu medium,50g,0
250g,50cl,0,3eu medium,0,1pinch
250g,.5l,0,4eu medium,50g,1pinch
500g,1l,0,10eu medium,100g,1pinch
200g,.5l,0,2eu medium,25g,1pinch
110g,15cl,5cl,2eu medium,25g,1g
125g,25cl,0,2eu medium,30g,1pinch
250g,.5l,0,2eu medium,1metric tb,1pinch
200g,50cl,0,3eu medium,1metric tb,6g
300g,4dl,0,3eu medium,50g,0
125g,.25l,0,2eu medium,30g,1pinch
125g,40cl,0,3eu medium,125g,0
400g,50cl,50cl,4eu medium,4metric tb,0
250g,50cl,0,3eu medium,80g,0
250g,.5l,0,2eu medium,50g,1pinch
250g,.25l,.25l,2eu medium,50g,1pinch
175g,35ml,0,3eu medium,30g,1pinch
200g,.25l,0,2eu medium,1metric tb,0
325g,780ml,0,3eu medium,80g,0
250g,50ml,0,4eu medium,2metric tb,1pinch
500g,1l,0,6eu medium,0,1pinch
500g,1l,0,4eu medium,50g,0
250g,.5l,10cl,2.5eu medium,50g,0
2metric cup,4metric cup,0,3eu medium,0,1pinch
250g,25ml,0,3eu medium,50g,1pinch
230g,.5l,0,2eu medium,50g,1pinch
216g,10cl,0,3eu small,125g,12g
180g,50cl,0,3eu medium,50g,1pinch
250g,.5l,0,4eu medium,50g,1pinch
250g,600g,0,3eu medium,40g,3g
350g,80cl,0,4eu medium,60g,1pinch
